EmployeeID,Gender,Department,Job_Level,Country,Hire_Date,Annual_Salary,Market_Midpoint,Target_Bonus_Pct,Actual_Bonus,Performance_Rating,Benefit_Plan
GE-1000,Female,Finance,Entry,Poland,3/5/2014,106667,95000,0.05,7619,5,Silver Health
GE-1001,Male,Marketing,Entry,Germany,9/5/2023,112877,95000,0.05,1612,1,Opt-Out
GE-1002,Male,HR,Manager,Spain,8/23/2015,265392,240000,0.2,45495,3,Gold Health
GE-1003,Female,Engineering,Director,Germany,10/16/2022,417724,340000,0.3,143219,4,Opt-Out
GE-1004,Male,Engineering,Manager,Spain,5/4/2016,277481,240000,0.2,63424,4,Gold Health
GE-1005,Female,Engineering,Professional,Poland,5/26/2022,121969,130000,0.1,13939,4,Gold Health
GE-1006,Female,Operations,Entry,Poland,4/11/2023,98441,95000,0.05,5625,4,Gold Health
GE-1007,Male,Finance,Professional,Germany,10/6/2014,117220,130000,0.1,10047,3,Silver Health
GE-1008,Female,IT,Entry,Poland,10/7/2019,101794,95000,0.05,2908,2,Gold Health
GE-1009,Female,Finance,Senior,UK,2/4/2020,155807,175000,0.15,26709,4,Opt-Out
GE-1010,Male,Marketing,Professional,UK,2/9/2022,118741,130000,0.1,3392,1,Standard
GE-1011,Male,Engineering,Professional,Spain,11/3/2014,124132,130000,0.1,3546,1,Standard
GE-1012,Female,HR,Professional,Poland,8/16/2019,123236,130000,0.1,10563,3,Opt-Out
GE-1013,Female,HR,Professional,UK,11/29/2016,127187,130000,0.1,3633,1,Gold Health
GE-1014,Male,Engineering,Entry,France,9/2/2016,82971,95000,0.05,3555,3,Gold Health
GE-1015,Female,Engineering,Senior,Germany,6/27/2020,163058,175000,0.15,20964,3,Gold Health
GE-1016,Male,Operations,Professional,Spain,12/13/2015,125513,130000,0.1,7172,2,Gold Health
GE-1017,Male,Operations,Professional,Spain,4/20/2014,136078,130000,0.1,11663,3,Standard
GE-1018,Female,Marketing,Senior,UK,11/4/2021,132068,175000,0.15,22640,4,Opt-Out
GE-1019,Female,Operations,Entry,Spain,6/22/2022,87866,95000,0.05,2510,2,Opt-Out
GE-1020,Male,IT,Senior,UK,6/16/2014,186785,175000,0.15,24015,3,Standard
GE-1021,Male,Sales,Entry,France,6/28/2023,108543,95000,0.05,7753,5,Silver Health
GE-1022,Female,Engineering,Manager,Germany,11/5/2022,248783,240000,0.2,42648,3,Standard
GE-1023,Female,Operations,Entry,Spain,7/26/2016,95833,95000,0.05,2738,2,Standard
GE-1024,Male,Operations,Professional,France,9/18/2022,122935,130000,0.1,17562,5,Silver Health
GE-1025,Male,HR,Entry,Germany,2/4/2018,94862,95000,0.05,1355,1,Gold Health
GE-1026,Female,Finance,Director,Spain,8/18/2020,348542,340000,0.3,89625,3,Gold Health
GE-1027,Female,HR,Senior,Spain,6/19/2017,167534,175000,0.15,21540,3,Standard
GE-1028,Female,Finance,Manager,Poland,6/2/2023,226074,240000,0.2,25837,2,Gold Health
GE-1029,Male,Sales,Professional,UK,9/5/2021,117846,130000,0.1,10101,3,Standard
GE-1030,Female,Operations,Professional,UK,10/4/2020,140941,130000,0.1,12080,3,Gold Health
GE-1031,Male,Finance,Professional,Poland,3/2/2022,106616,130000,0.1,9138,3,Gold Health
GE-1032,Male,Operations,Professional,Poland,5/10/2018,137713,130000,0.1,11803,3,Standard
GE-1033,Male,Sales,Professional,UK,8/20/2016,135999,130000,0.1,19428,5,Gold Health
GE-1034,Female,IT,Manager,UK,3/31/2023,218257,240000,0.2,49887,4,Opt-Out
GE-1035,Female,Engineering,Entry,France,4/19/2015,85460,95000,0.05,3662,3,Silver Health
GE-1036,Male,Engineering,Professional,Germany,8/2/2018,133037,130000,0.1,7602,2,Standard
GE-1037,Male,Finance,Entry,UK,9/11/2014,109046,95000,0.05,4673,3,Standard
GE-1038,Male,Operations,Senior,UK,9/4/2022,173254,175000,0.15,29700,4,Standard
GE-1039,Male,HR,Professional,Poland,6/9/2018,115070,130000,0.1,6575,2,Standard
GE-1040,Male,HR,Professional,UK,8/4/2022,152962,130000,0.1,13111,3,Gold Health
GE-1041,Male,HR,Professional,UK,6/30/2021,139790,130000,0.1,15976,4,Gold Health
GE-1042,Female,Marketing,Manager,Germany,1/21/2022,236776,240000,0.2,27060,2,Silver Health
GE-1043,Male,Engineering,Professional,Spain,3/1/2022,130319,130000,0.1,11170,3,Silver Health
GE-1044,Male,Engineering,Senior,Spain,6/8/2022,168621,175000,0.15,28906,4,Silver Health
GE-1045,Male,IT,Entry,Poland,9/2/2014,109918,95000,0.05,6281,4,Gold Health
GE-1046,Female,Finance,Entry,France,11/27/2019,118662,95000,0.05,1695,1,Gold Health
GE-1047,Male,IT,Entry,France,8/18/2019,103934,95000,0.05,4454,3,Opt-Out
GE-1048,Female,Marketing,Manager,UK,3/15/2021,226308,240000,0.2,38795,3,Silver Health
GE-1049,Female,Marketing,Professional,Poland,3/28/2022,141344,130000,0.1,20192,5,Opt-Out
GE-1050,Male,Finance,Professional,Spain,1/29/2021,133148,130000,0.1,11412,3,Gold Health
GE-1051,Male,Sales,Professional,Spain,8/10/2016,152406,130000,0.1,13063,3,Silver Health
GE-1052,Female,Operations,Senior,France,6/21/2021,163844,175000,0.15,35109,5,Standard
GE-1053,Female,HR,Professional,France,6/13/2014,121909,130000,0.1,17415,5,Silver Health
GE-1054,Male,IT,Entry,Germany,10/31/2021,100837,95000,0.05,4321,3,Silver Health
GE-1055,Female,Sales,Senior,UK,5/26/2016,193081,175000,0.15,33099,4,Standard
GE-1056,Female,Marketing,Senior,Germany,3/15/2020,152240,175000,0.15,19573,3,Opt-Out
GE-1057,Male,Finance,Entry,Poland,7/10/2019,95103,95000,0.05,4075,3,Standard
GE-1058,Female,HR,Entry,Poland,7/11/2021,88507,95000,0.05,3793,3,Standard
GE-1059,Female,Operations,Senior,Germany,1/3/2019,206318,175000,0.15,26526,3,Standard
GE-1060,Male,Finance,Senior,Poland,5/22/2018,187034,175000,0.15,24047,3,Gold Health
GE-1061,Female,Engineering,Professional,France,4/11/2021,133961,130000,0.1,11482,3,Standard
GE-1062,Male,IT,Senior,Germany,11/20/2018,163166,175000,0.15,20978,3,Standard
GE-1063,Female,Operations,Senior,Spain,9/17/2023,170697,175000,0.15,36577,5,Opt-Out
GE-1064,Male,IT,Professional,Poland,3/24/2021,125695,130000,0.1,17956,5,Silver Health
GE-1065,Male,HR,Professional,France,4/27/2017,102984,130000,0.1,11769,4,Standard
GE-1066,Female,Operations,Manager,France,3/16/2017,241592,240000,0.2,55221,4,Gold Health
GE-1067,Female,Sales,Manager,Germany,8/29/2021,285925,240000,0.2,49015,3,Silver Health
GE-1068,Male,Engineering,Professional,Spain,4/5/2020,119374,130000,0.1,10232,3,Standard
GE-1069,Female,Finance,Entry,Poland,4/7/2015,93344,95000,0.05,4000,3,Standard
GE-1070,Female,Engineering,Entry,Poland,2/1/2018,105950,95000,0.05,6054,4,Gold Health
GE-1071,Male,Engineering,Professional,UK,2/10/2014,137373,130000,0.1,11774,3,Silver Health
GE-1072,Female,Operations,Senior,Germany,7/20/2019,151789,175000,0.15,32526,5,Silver Health
GE-1073,Male,IT,Manager,France,5/28/2015,254982,240000,0.2,72852,5,Gold Health
GE-1074,Male,Sales,Professional,Poland,8/22/2015,142539,130000,0.1,12217,3,Opt-Out
GE-1075,Male,Marketing,Manager,Spain,7/24/2020,221485,240000,0.2,37968,3,Opt-Out
GE-1076,Female,Finance,Professional,UK,5/27/2014,148805,130000,0.1,12754,3,Opt-Out
GE-1077,Male,Engineering,Entry,Spain,6/24/2020,104917,95000,0.05,5995,4,Silver Health
GE-1078,Female,HR,Senior,Germany,4/22/2016,157267,175000,0.15,26960,4,Opt-Out
GE-1079,Male,HR,Professional,Poland,1/23/2018,109046,130000,0.1,15578,5,Standard
GE-1080,Female,Engineering,Professional,Spain,2/16/2018,101349,130000,0.1,11582,4,Silver Health
GE-1081,Female,Engineering,Senior,UK,12/1/2019,173087,175000,0.15,22254,3,Opt-Out
GE-1082,Male,Marketing,Professional,Germany,2/11/2015,116406,130000,0.1,13303,4,Gold Health
GE-1083,Female,Sales,Entry,Spain,3/15/2019,90637,95000,0.05,2589,2,Silver Health
GE-1084,Female,Operations,Professional,Spain,4/24/2015,144712,130000,0.1,4134,1,Opt-Out
GE-1085,Female,Finance,Professional,Germany,1/15/2023,129990,130000,0.1,14856,4,Opt-Out
GE-1086,Male,Sales,Professional,Spain,2/13/2019,126620,130000,0.1,3617,1,Gold Health
GE-1087,Female,Finance,Senior,Germany,12/11/2021,165700,175000,0.15,28405,4,Gold Health
GE-1088,Female,IT,Entry,France,6/5/2022,94186,95000,0.05,5382,4,Opt-Out
GE-1089,Male,Engineering,Senior,Poland,4/24/2016,195175,175000,0.15,25093,3,Standard
GE-1090,Male,HR,Director,UK,4/8/2016,321698,340000,0.3,110296,4,Gold Health
